case,subcase_id,method
2re,1,AdaStruMM
2re,2,AdaStruMM
2re,3,AdaStruMM
2re,4,AdaStruMM
2re,5,AdaStruMM
2re,6,AdaStruMM
2re,7,AdaStruMM
2re,8,AdaStruMM
2re,9,AdaStruMM
2re,10,AdaStruMM
2re,11,AdaStruMM
2re,12,AdaStruMM
2re,13,AdaStruMM
2re,14,AdaStruMM
2re,15,AdaStruMM
2re,16,AdaStruMM
2re,17,AdaStruMM
2re,18,AdaStruMM
2re,19,AdaStruMM
2re,20,AdaStruMM
2re,21,AdaStruMM
2re,22,AdaStruMM
2re,23,AdaStruMM
2re,24,AdaStruMM
2re,1,FACE
2re,2,FACE
2re,3,FACE
2re,4,FACE
2re,5,FACE
2re,6,FACE
2re,7,FACE
2re,8,FACE
2re,9,FACE
2re,10,FACE
2re,11,FACE
2re,12,FACE
2re,13,FACE
2re,14,FACE
2re,15,FACE
2re,16,FACE
2re,17,FACE
2re,18,FACE
2re,19,FACE
2re,20,FACE
2re,21,FACE
2re,22,FACE
2re,23,FACE
2re,24,FACE
2re,1,HGAM-GS
2re,2,HGAM-GS
2re,3,HGAM-GS
2re,4,HGAM-GS
2re,5,HGAM-GS
2re,6,HGAM-GS
2re,7,HGAM-GS
2re,8,HGAM-GS
2re,9,HGAM-GS
2re,10,HGAM-GS
2re,11,HGAM-GS
2re,12,HGAM-GS
2re,13,HGAM-GS
2re,14,HGAM-GS
2re,15,HGAM-GS
2re,16,HGAM-GS
2re,17,HGAM-GS
2re,18,HGAM-GS
2re,19,HGAM-GS
2re,20,HGAM-GS
2re,21,HGAM-GS
2re,22,HGAM-GS
2re,23,HGAM-GS
2re,24,HGAM-GS
2re,2,Local-GAM
2re,3,Local-GAM
2re,4,Local-GAM
2re,6,Local-GAM
2re,7,Local-GAM
2re,8,Local-GAM
2re,10,Local-GAM
2re,11,Local-GAM
2re,12,Local-GAM
2re,14,Local-GAM
2re,15,Local-GAM
2re,16,Local-GAM
2re,18,Local-GAM
2re,19,Local-GAM
2re,20,Local-GAM
2re,22,Local-GAM
2re,23,Local-GAM
2re,24,Local-GAM
2re,1,Oracle-GP
2re,2,Oracle-GP
2re,3,Oracle-GP
2re,4,Oracle-GP
2re,5,Oracle-GP
2re,6,Oracle-GP
2re,7,Oracle-GP
2re,8,Oracle-GP
2re,9,Oracle-GP
2re,10,Oracle-GP
2re,11,Oracle-GP
2re,12,Oracle-GP
2re,13,Oracle-GP
2re,14,Oracle-GP
2re,15,Oracle-GP
2re,16,Oracle-GP
2re,17,Oracle-GP
2re,18,Oracle-GP
2re,19,Oracle-GP
2re,20,Oracle-GP
2re,21,Oracle-GP
2re,22,Oracle-GP
2re,23,Oracle-GP
2re,24,Oracle-GP
2re,1,PACE
2re,2,PACE
2re,3,PACE
2re,4,PACE
2re,5,PACE
2re,6,PACE
2re,7,PACE
2re,8,PACE
2re,9,PACE
2re,10,PACE
2re,11,PACE
2re,12,PACE
2re,13,PACE
2re,14,PACE
2re,15,PACE
2re,16,PACE
2re,17,PACE
2re,18,PACE
2re,19,PACE
2re,20,PACE
2re,21,PACE
2re,22,PACE
2re,23,PACE
2re,24,PACE
2re,1,bayesFPCA
2re,2,bayesFPCA
2re,3,bayesFPCA
2re,4,bayesFPCA
2re,5,bayesFPCA
2re,6,bayesFPCA
2re,7,bayesFPCA
2re,8,bayesFPCA
2re,9,bayesFPCA
2re,10,bayesFPCA
2re,11,bayesFPCA
2re,12,bayesFPCA
2re,13,bayesFPCA
2re,14,bayesFPCA
2re,15,bayesFPCA
2re,16,bayesFPCA
2re,17,bayesFPCA
2re,18,bayesFPCA
2re,19,bayesFPCA
2re,20,bayesFPCA
2re,21,bayesFPCA
2re,22,bayesFPCA
2re,24,bayesFPCA
