case,subcase_id,method,n_timing_runs,min_time,median_time,max_time
sitar,1,SITAR,2,0.4379333333333334,0.5560166666666667,0.6741
sitar,2,SITAR,1,0.5989666666666668,0.5989666666666668,0.5989666666666668
sitar,3,SITAR,5,0.36685000000000006,0.4386666666666666,0.9734
sitar,4,SITAR,5,0.33026666666666665,0.3655666666666667,0.5172000000000001
sitar,5,SITAR,1,0.5332666666666666,0.5332666666666666,0.5332666666666666
sitar,6,SITAR,2,0.7235499999999999,0.8238666666666666,0.9241833333333334
sitar,7,SITAR,5,0.3170833333333334,0.3795333333333334,0.3828000000000001
sitar,8,SITAR,5,0.3663166666666667,0.41425,0.41824999999999996
sitar,9,SITAR,2,0.9536333333333334,1.3299500000000002,1.7062666666666668
sitar,10,SITAR,2,0.8210333333333334,1.1415250000000001,1.4620166666666667
sitar,11,SITAR,5,0.49423333333333325,0.5333666666666667,0.8197333333333334
sitar,12,SITAR,5,0.37098333333333333,0.4452666666666667,0.5286833333333334
sitar,13,SITAR,3,0.8537833333333334,1.1541333333333332,1.5071666666666668
sitar,14,SITAR,5,1.7862166666666668,2.1402,4.4979
sitar,15,SITAR,5,0.47358333333333336,0.48605,1.2525833333333334
sitar,16,SITAR,5,0.4044166666666667,0.4456333333333333,0.5857
sitar,17,SITAR,2,0.9256166666666666,1.3497666666666668,1.7739166666666668
sitar,18,SITAR,4,0.8136666666666666,2.4325583333333336,5.654316666666667
sitar,19,SITAR,5,0.5499166666666666,0.67935,1.0454166666666667
sitar,20,SITAR,5,0.3878333333333333,0.47109999999999996,0.49496666666666667
sitar,21,SITAR,0,NA,NA,NA
sitar,22,SITAR,3,1.9406666666666665,3.0714,5.9462
sitar,23,SITAR,5,0.5520499999999999,0.6050833333333333,0.62505
sitar,24,SITAR,5,0.40288333333333337,0.44475000000000003,0.50685
